arac_yasi,km,yillik_km,hasar_skoru,motor_hacmi_cc,motor_gucu_hp,guc_hacim_orani,cekis_enc,kimden_galeri,kimden_bayi,agir_hasarli_evet,takasa_uygun_evet,marka_enc,seri_enc,yakit_tipi_enc,vites_tipi_enc,kasa_tipi_enc,renk_enc,arac_durumu_enc,fiyat_log,fiyat
14.0,150000.0,10714.285714285714,12,1329.0,99.0,0.0744920993227991,0,0,0,0,0,66,510,4,1,4,8,3,13.538439983884853,758000.0
10.0,101250.0,10125.0,4,1329.0,98.0,0.07373965387509406,0,0,0,0,0,66,510,0,1,4,2,3,13.878486296092358,1065000.0
7.0,87000.0,12428.57142857143,6,1496.0,111.0,0.07419786096256685,0,0,0,0,0,66,510,0,1,4,2,3,13.87378040948403,1060000.0
17.0,114000.0,6705.882352941177,6,1329.0,105.0,0.07179487179487179,0,0,0,0,0,66,510,0,0,4,11,3,13.122365377402328,500000.0
14.0,190000.0,13571.42857142857,3,998.0,69.0,0.06913827655310621,0,0,0,0,0,66,510,0,0,4,11,3,13.122365377402328,500000.0
15.0,179000.0,11933.333333333334,0,1499.0,105.0,0.07179487179487179,0,0,0,0,0,66,510,0,0,4,6,3,13.217675375388819,550000.0
19.0,285000.0,15000.0,5,1364.0,90.0,0.06598240469208211,0,0,0,0,0,66,510,1,0,4,13,3,12.959846800844963,425000.0
26.0,327500.0,12596.153846153846,13,1299.0,86.0,0.06620477290223249,0,0,0,1,0,66,510,4,0,4,21,3,12.676079399771027,320000.0
9.0,49580.0,5508.888888888889,4,1496.0,111.0,0.07419786096256685,0,0,0,0,0,66,510,0,1,4,14,3,13.887832149776026,1075000.0
13.0,152900.0,11761.538461538461,0,1329.0,99.0,0.0744920993227991,0,0,0,0,1,66,510,4,1,4,2,3,13.864301674514206,1050000.0
16.0,114100.0,7131.25,6,1329.0,105.0,0.07179487179487179,0,0,0,0,0,66,510,0,0,4,2,3,13.279368835614243,585000.0
16.0,228000.0,14250.0,4,1329.0,105.0,0.07179487179487179,0,0,0,0,0,66,510,4,0,4,7,3,13.217675375388819,550000.0
